Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0603_1608Metric,38.1,-106.172,180,bottom
C2,10u,C_0805_2012Metric,42.672,-27.432,0,bottom
C3,10u,C_0805_2012Metric,29.972,-27.432,180,bottom
C4,10u,C_0805_2012Metric,38.989,-27.432,0,bottom
C5,220p,C_0603_1608Metric,33.274,-111.506,270,bottom
C6,220p,C_0603_1608Metric,44.704,-111.76,270,bottom
C7,220p,C_0603_1608Metric,31.75,-114.808,90,bottom
C8,220p,C_0603_1608Metric,44.704,-115.062,90,bottom
C9,10u,C_0805_2012Metric,33.3525,-50.673,180,bottom
C10,10u,C_0805_2012Metric,46.355,-50.546,180,bottom
C11,100n,C_0603_1608Metric,45.212,-64.135,0,bottom
C12,18p,C_0603_1608Metric,37.719,-59.055,180,bottom
C13,2u2,C_0603_1608Metric,42.799,-80.01,270,bottom
C14,18p,C_0603_1608Metric,37.719,-65.151,0,bottom
C15,2u2,C_0603_1608Metric,35.433,-81.5595,270,bottom
C16,CP,CP_Elec_5x4.5,30.734,-104.394,90,bottom
C17,CP,CP_Elec_5x4.5,44.958,-104.394,90,bottom
C18,100n,C_0603_1608Metric,30.607,-64.643,90,bottom
C19,100n,C_0603_1608Metric,45.339,-69.215,90,bottom
C20,220p,C_0603_1608Metric,30.988,-123.698,90,bottom
C21,220p,C_0603_1608Metric,44.196,-121.92,90,bottom
C22,100n,C_0603_1608Metric,44.323,-78.867,270,bottom
C23,100n,C_0603_1608Metric,33.02,-80.645,180,bottom
C24,2u2,C_0603_1608Metric,49.784,-56.515,270,bottom
C25,100n,C_0603_1608Metric,37.973,-125.476,0,bottom
C26,100n,C_0603_1608Metric,40.132,-64.262,270,bottom
C27,4.7u,C_0603_1608Metric,43.053,-92.202,0,bottom
C28,100n,C_0603_1608Metric,42.9895,-82.677,180,bottom
C29,4.7u,C_0603_1608Metric,43.053,-90.678,0,bottom
C30,220pf,C_0603_1608Metric,35.56,-99.06,90,bottom
C31,4.7u,C_0603_1608Metric,40.767,-91.694,90,bottom
C32,4.7u,C_0603_1608Metric,47.752,-91.5035,0,bottom
C33,4.7u,C_0603_1608Metric,47.752,-89.9795,0,bottom
C34,220pf,C_0603_1608Metric,40.386,-99.06,90,bottom
C35,10u,C_0805_2012Metric,34.925,-96.52,180,bottom
C36,10u,C_0805_2012Metric,41.021,-96.52,0,bottom
C37,100n,C_0603_1608Metric,29.464,-116.967,0,bottom
R1,100k,R_0603_1608Metric,30.226,-111.506,90,bottom
R2,100k,R_0603_1608Metric,28.702,-111.506,270,bottom
R3,100k,R_0603_1608Metric,46.228,-111.76,90,bottom
R4,120k,R_0603_1608Metric,30.226,-114.808,270,bottom
R5,120k,R_0603_1608Metric,46.228,-115.062,270,bottom
R6,100k,R_0603_1608Metric,47.752,-111.76,270,bottom
R7,100k,R_0603_1608Metric,28.702,-114.808,270,bottom
R8,100k,R_0603_1608Metric,47.752,-115.062,90,bottom
R9,33k,R_0603_1608Metric,31.75,-111.506,270,bottom
R10,33k,R_0603_1608Metric,43.18,-111.76,270,bottom
R11,33k,R_0603_1608Metric,33.274,-114.808,90,bottom
R12,33k,R_0603_1608Metric,43.18,-115.062,90,bottom
R13,10k,R_0603_1608Metric,29.083,-64.643,90,bottom
R14,33k,R_0603_1608Metric,27.94,-123.698,270,bottom
R15,33k,R_0603_1608Metric,47.244,-121.92,270,bottom
R16,5.6k,R_0603_1608Metric,29.464,-123.698,270,bottom
R17,5.6k,R_0603_1608Metric,45.72,-121.92,270,bottom
R18,33k,R_0603_1608Metric,32.766,-123.698,90,bottom
R19,33k,R_0603_1608Metric,42.672,-121.92,90,bottom
R20,1k,R_0603_1608Metric,30.988,-126.746,90,bottom
R21,1k,R_0603_1608Metric,44.958,-124.206,180,bottom
R22,5.6k,R_0603_1608Metric,34.036,-99.06,270,bottom
R23,5.6k,R_0603_1608Metric,41.91,-99.06,270,bottom
R24,5.6k,R_0603_1608Metric,37.084,-99.06,90,bottom
R25,5.6k,R_0603_1608Metric,38.862,-99.06,90,bottom
R26,100,R_0603_1608Metric,27.305,-69.85,270,bottom
